"","Cj","Nj","lj","p","CjSv","NjSv","ljSv","pSv","alpha","pcrit","J","Jprime","Jstar","run","pop_size","sample_size","n_loci","al_per_loc","bias","biasSv","var","varSv","CjB","NjB","ljB","pB","CjA","NjA","ljA","pA"
"1","1","0.92","1","0.96","0.96","0.88","0.92","0.92","0.01","0","117.76","111.762556185696","118.005316250093","runA1","200","100","5","10","-240000249.167521","-240000181.200129","189999773612838560","189999806743492960","1","1","1","1","1","0.92","1","0.96"
"2","1","1","1","1","1","1","1","1","0.01","0","74.3","72.4504541002539","91.7972009982582","runA2","100","100","5","10","-100000034.213476","-100000039.18748","99999969949194720","99999968843862272","1","1","1","1","1","1","1","1"
"3","1","0.92","1","0.96","1","0.88","0.96","0.92","0.01","0.01","117.76","106.331801549148","116.748472096922","runA1","200","100","5","10","-240000145.737753","-200002505.760958","189999825327602912","166665538209030432","1","1","1","1","1","0.92","1","0.96"
"4","1","1","1","1","1","1","1","1","0.01","0.01","74.3","72.6874920794288","87.1449538395607","runA2","100","100","5","10","-100000032.740243","-100000034.251259","99999970276580112","99999969940798320","1","1","1","1","1","1","1","1"
"5","1","1","1","1","1","1","1","1","0.01","0.02","116.64","96.4276762072852","102.710649618281","runA1","200","100","5","10","-240000091.413841","-240000012.723109","189999852489481024","189999891834608160","1","1","1","1","1","1","1","1"
"6","1","1",NA,"1","1","1","1","1","0.01","0.02","73.3","70.9364611512934","82.9122354773865","runA2","100","100","5","10","-100000071.258245","-100000068.340432","99999961717049760","99999962365447168","1","1","1","1","1","1",NA,"1"
"7","0.96","1","0.96","0.92","0.96","1","0.96","0.88","0.01","0.05","104.2","75.1572486503035","71.9469652255068","runA1","200","100","5","10","-279999964.4421","-279999992.23833","209999901930588608","209999886926086816","0.96","1","0.96","0.96","1","1","1","0.96"
"8","1","1",NA,"1","1","1","1","1","0.01","0.05","68.8","59.1101679075134","60.6772232890485","runA2","100","100","5","10","-100000100.525169","-458.306403430915","99999955550008624","1208576.82116822","1","1","1","1","1","1",NA,"1"
"9","0.96","1",NA,"0.96","0.96","1","0.96","0.96","0.01","0.1","70.92","48.8851341901679","37.0658507212162","runA1","200","100","5","10","-280000034.680428","-240000112.53571","209999863151620224","189999842021803520","0.96","1","0.96","0.96","1","1",NA,"1"
"10","1","1",NA,"1","1","1","1","1","0.01","0.1","51.6","42.6458654098704","42.4640584467918","runA2","100","100","5","10","-200000027.389349","-200000066.334879","177777719195728576","177777701886639840","1","1","1","1","1","1",NA,"1"
"11","0.84","0.88","0.92","0.88","0.84","0.8","0.92","0.84","0.05","0","117.76","111.762556185696","118.005316250093","runA1","200","100","5","10","-240000249.167521","-240000181.200129","189999773612838560","189999806743492960","0.96","1","1","1","0.88","0.88","0.92","0.88"
"12","1","0.9","1","1","1","0.9","1","1","0.05","0","74.3","72.4504541002539","91.7972009982582","runA2","100","100","5","10","-100000034.213476","-100000039.18748","99999969949194720","99999968843862272","1","1","1","1","1","0.9","1","1"
"13","0.84","0.88","0.92","0.88","0.84","0.88","0.92","0.88","0.05","0.01","117.76","106.331801549148","116.748472096922","runA1","200","100","5","10","-240000145.737753","-200002505.760958","189999825327602912","166665538209030432","0.96","1","1","1","0.88","0.88","0.92","0.88"
"14","0.9","0.9","1","0.9","0.9","0.9","1","0.9","0.05","0.01","74.3","72.6874920794288","87.1449538395607","runA2","100","100","5","10","-100000032.740243","-100000034.251259","99999970276580112","99999969940798320","0.9","1","1","0.9","1","0.9","1","1"
"15","0.96","0.88","0.96","0.88","1","0.88","0.96","0.84","0.05","0.02","116.64","96.4276762072852","102.710649618281","runA1","200","100","5","10","-240000091.413841","-240000012.723109","189999852489481024","189999891834608160","1","1","1","1","0.96","0.88","0.96","0.88"
"16","0.9","0.9","1","0.9","0.9","0.9","1","0.9","0.05","0.02","73.3","70.9364611512934","82.9122354773865","runA2","100","100","5","10","-100000071.258245","-100000068.340432","99999961717049760","99999962365447168","0.9","1","1","0.9","1","0.9","1","1"
"17","0.96","0.88","0.92","0.88","0.96","0.88","0.92","0.88","0.05","0.05","104.2","75.1572486503035","71.9469652255068","runA1","200","100","5","10","-279999964.4421","-279999992.23833","209999901930588608","209999886926086816","0.96","0.96","0.96","0.96","1","0.92","0.96","0.92"
"18","0.9","1","1","0.9","1","1","1","0.9","0.05","0.05","68.8","59.1101679075134","60.6772232890485","runA2","100","100","5","10","-100000100.525169","-458.306403430915","99999955550008624","1208576.82116822","0.9","1","1","0.9","1","1","1","1"
